customer_id,name,plan,monthly_spend,tenure_months,home_tower_id,tower_id,latitude,longitude,city,health_status,anomaly_experienced_count,is_on_unhealthy_tower,churned
C20000,Pratyush Ghosh,Basic_5GB,1152.72,34,T1030,T1030,12.99871592770494,77.62670506809408,Bengaluru,Healthy,1,0,0
C20001,Krisha Manda,Basic_5GB,6062.96,60,T1025,T1025,28.509918874028973,77.29217705038093,Delhi,Unhealthy,0,1,0
C20002,Rushil Saha,Premium_100GB,5225.72,23,T1008,T1008,12.93990344119929,77.62464901721242,Bengaluru,Healthy,0,0,0
C20003,Benjamin Sarin,Premium_100GB,6230.55,46,T1012,T1012,13.023810211330176,80.21192951781012,Chennai,Healthy,0,0,1
C20004,Yamini Rastogi,Basic_5GB,334.66,42,T1009,T1009,19.07128836279437,72.86222737490004,Mumbai,Unhealthy,0,1,0
C20005,Daksh Ramakrishnan,Basic_5GB,6298.08,29,T1004,T1004,13.00034409162078,77.55642614044618,Bengaluru,Healthy,0,0,0
C20006,Frado Biswas,Standard_20GB,2362.21,38,T1026,T1026,13.018333489717769,80.27883827043385,Chennai,Healthy,0,0,0
C20007,Jai Divan,Standard_20GB,5124.82,50,T1023,T1023,12.935275554960178,77.5767429679547,Bengaluru,Unhealthy,0,1,0
C20008,Hemani Bhargava,Unlimited,3726.72,61,T1023,T1023,12.935275554960178,77.5767429679547,Bengaluru,Unhealthy,0,1,0
C20009,Jagrati Som,Premium_100GB,4293.98,67,T1001,T1001,28.53352426257309,77.129087049642,Delhi,Healthy,0,0,0
C20010,Urmi Karan,Unlimited,989.07,54,T1048,T1048,19.129969470149558,72.88423945036011,Mumbai,Healthy,0,0,0
C20011,Zaitra Bath,Basic_5GB,3884.09,57,T1036,T1036,28.51231226115647,77.16809191568898,Delhi,Healthy,0,0,0
C20012,Daniel Ravi,Premium_100GB,3035.5,22,T1021,T1021,13.02769764742668,77.62745366548258,Bengaluru,Healthy,0,0,0
C20013,Chakradev Chadha,Basic_5GB,1252.8,47,T1003,T1003,12.954368465260934,77.59563002387812,Bengaluru,Healthy,0,0,0
C20014,Lavanya Maharaj,Unlimited,6893.31,27,T1002,T1002,12.961702667587774,77.59965517818893,Bengaluru,Healthy,1,0,0
C20015,Vidhi Tata,Basic_5GB,5596.71,37,T1010,T1010,13.027407874069294,80.26537542842367,Chennai,Unhealthy,0,1,1
C20016,Samuel Srinivasan,Unlimited,3509.04,17,T1026,T1026,13.018333489717769,80.27883827043385,Chennai,Healthy,0,0,0
C20017,Turvi Raman,Unlimited,4169.19,29,T1026,T1026,13.018333489717769,80.27883827043385,Chennai,Healthy,0,0,0
C20018,Fiyaz Jani,Basic_5GB,5986.73,56,T1036,T1036,28.51231226115647,77.16809191568898,Delhi,Healthy,0,0,0
C20019,Quincy Pradhan,Basic_5GB,1262.87,20,T1027,T1027,19.079402149123208,72.91569286619138,Mumbai,Healthy,0,0,0
C20020,Dayita Kunda,Unlimited,3518.3,43,T1032,T1032,28.51312326199266,77.12862480666897,Delhi,Healthy,0,0,0
C20021,Urishilla Borra,Standard_20GB,4595.89,47,T1049,T1049,19.056050794276302,72.87180681526907,Mumbai,Healthy,0,0,0
C20022,Ranbir Nagarajan,Standard_20GB,1164.88,59,T1015,T1015,19.095481599030936,72.8056778156077,Mumbai,Healthy,0,0,0
C20023,Veer Merchant,Unlimited,4770.75,55,T1008,T1008,12.93990344119929,77.62464901721242,Bengaluru,Healthy,0,0,1
C20024,Sneha Sarna,Basic_5GB,1080.43,41,T1026,T1026,13.018333489717769,80.27883827043385,Chennai,Healthy,0,0,0
C20025,Jasmit Chaudhry,Premium_100GB,2905.68,9,T1001,T1001,28.53352426257309,77.129087049642,Delhi,Healthy,0,0,0
C20026,Lekha Nanda,Unlimited,3510.93,59,T1018,T1018,13.016560059757204,77.56755670675297,Bengaluru,Unhealthy,0,1,0
C20027,Champak Ram,Unlimited,1387.29,36,T1027,T1027,19.079402149123208,72.91569286619138,Mumbai,Healthy,0,0,0
C20028,Gabriel Bakshi,Premium_100GB,7664.99,7,T1006,T1006,13.042623276281724,80.23720852431478,Chennai,Healthy,0,0,0
C20029,Arin Dara,Basic_5GB,6877.03,30,T1005,T1005,12.9156127437866,77.60282601647768,Bengaluru,Healthy,0,0,0
C20030,Advaith Venkataraman,Premium_100GB,4744.8,16,T1025,T1025,28.509918874028973,77.29217705038093,Delhi,Unhealthy,0,1,0
C20031,Vinaya Mandal,Basic_5GB,2607.61,19,T1028,T1028,12.92907087281669,77.58377094225962,Bengaluru,Healthy,0,0,0
C20032,Libni Arya,Unlimited,3596.54,16,T1031,T1031,19.111136234270827,72.83193144170211,Mumbai,Healthy,0,0,0
C20033,Sudiksha Tripathi,Basic_5GB,572.53,16,T1002,T1002,12.961702667587774,77.59965517818893,Bengaluru,Healthy,1,0,1
C20034,Nicholas Sethi,Basic_5GB,4608.67,55,T1037,T1037,28.52690785937098,77.2997725096253,Delhi,Healthy,0,0,0
C20035,Arya Khurana,Unlimited,6704.83,39,T1038,T1038,13.034349083727689,77.59992581648865,Bengaluru,Healthy,0,0,0
C20036,Ethan Vig,Unlimited,4043.38,15,T1042,T1042,13.02905334666557,80.28486841405483,Chennai,Healthy,0,0,0
C20037,Manbir Gill,Standard_20GB,4621.34,71,T1016,T1016,12.981535478694678,77.55241247636768,Bengaluru,Healthy,1,0,0
C20038,Urvi Shetty,Standard_20GB,1091.04,24,T1001,T1001,28.53352426257309,77.129087049642,Delhi,Healthy,0,0,0
C20039,Teerth Bora,Unlimited,2363.89,61,T1038,T1038,13.034349083727689,77.59992581648865,Bengaluru,Healthy,0,0,0
C20040,Ekani Palla,Standard_20GB,1859.1,15,T1013,T1013,13.01591161005511,80.20334529669032,Chennai,Healthy,0,0,0
C20041,Niharika Savant,Standard_20GB,3680.0,64,T1025,T1025,28.509918874028973,77.29217705038093,Delhi,Unhealthy,0,1,0
C20042,Robert Chakrabarti,Basic_5GB,3029.78,12,T1002,T1002,12.961702667587774,77.59965517818893,Bengaluru,Healthy,1,0,1
C20043,Tejas Mangal,Basic_5GB,7102.89,26,T1006,T1006,13.042623276281724,80.23720852431478,Chennai,Healthy,0,0,0
C20044,Victor Lala,Standard_20GB,5766.99,63,T1002,T1002,12.961702667587774,77.59965517818893,Bengaluru,Healthy,1,0,0
C20045,Frado Sachdeva,Standard_20GB,7121.54,66,T1006,T1006,13.042623276281724,80.23720852431478,Chennai,Healthy,0,0,0
C20046,Simon Dube,Premium_100GB,3087.85,50,T1033,T1033,19.147865118274986,72.93988551203643,Mumbai,Healthy,0,0,0
C20047,Rajata Rajan,Standard_20GB,6102.43,24,T1007,T1007,28.610000621939115,77.29976806308876,Delhi,Healthy,0,0,0
C20048,Imaran Anand,Premium_100GB,6769.58,41,T1031,T1031,19.111136234270827,72.83193144170211,Mumbai,Healthy,0,0,0
C20049,Henry Mani,Premium_100GB,7638.43,70,T1035,T1035,28.53740991908231,77.20763735769783,Delhi,Healthy,0,0,0
C20050,Oviya Sant,Standard_20GB,2695.4,31,T1010,T1010,13.027407874069294,80.26537542842367,Chennai,Unhealthy,0,1,0
C20051,Vaishnavi Sandal,Premium_100GB,2423.1,29,T1015,T1015,19.095481599030936,72.8056778156077,Mumbai,Healthy,0,0,0
C20052,Janya D’Alia,Standard_20GB,4111.67,64,T1042,T1042,13.02905334666557,80.28486841405483,Chennai,Healthy,0,0,0
C20053,Upasna Gokhale,Unlimited,2554.96,6,T1027,T1027,19.079402149123208,72.91569286619138,Mumbai,Healthy,0,0,0
C20054,Nitesh Nair,Basic_5GB,3027.06,64,T1047,T1047,19.091529343236644,72.86963493972571,Mumbai,Healthy,0,0,0
C20055,Dayita Goswami,Standard_20GB,661.76,57,T1031,T1031,19.111136234270827,72.83193144170211,Mumbai,Healthy,0,0,0
C20056,Chaitanya Sane,Unlimited,1266.5,3,T1018,T1018,13.016560059757204,77.56755670675297,Bengaluru,Unhealthy,0,1,1
C20057,Yachana Sama,Premium_100GB,5741.2,46,T1028,T1028,12.92907087281669,77.58377094225962,Bengaluru,Healthy,0,0,0
C20058,Osha Tata,Unlimited,6699.15,68,T1025,T1025,28.509918874028973,77.29217705038093,Delhi,Unhealthy,0,1,0
C20059,Anthony Arya,Premium_100GB,6260.21,70,T1016,T1016,12.981535478694678,77.55241247636768,Bengaluru,Healthy,1,0,0
C20060,Omisha Ravel,Premium_100GB,6087.41,15,T1005,T1005,12.9156127437866,77.60282601647768,Bengaluru,Healthy,0,0,0
C20061,Rehaan Kapoor,Standard_20GB,2992.25,30,T1035,T1035,28.53740991908231,77.20763735769783,Delhi,Healthy,0,0,1
C20062,Devika Natarajan,Unlimited,3892.56,2,T1019,T1019,28.60387565720649,77.13121231134181,Delhi,Healthy,0,0,0
C20063,Nicholas Yogi,Standard_20GB,5492.31,33,T1029,T1029,13.069496530670513,80.20572406593942,Chennai,Healthy,0,0,0
C20064,Lajita Mitra,Unlimited,4512.04,41,T1037,T1037,28.52690785937098,77.2997725096253,Delhi,Healthy,0,0,0
C20065,Lipika Murty,Premium_100GB,7143.29,61,T1015,T1015,19.095481599030936,72.8056778156077,Mumbai,Healthy,0,0,0
C20066,Aarna Srinivas,Unlimited,7232.66,67,T1043,T1043,12.993855983198662,77.6259189313666,Bengaluru,Healthy,1,0,0
C20067,Agastya Kota,Unlimited,4491.53,56,T1003,T1003,12.954368465260934,77.59563002387812,Bengaluru,Healthy,0,0,0
C20068,Jonathan Baria,Unlimited,6609.56,47,T1046,T1046,28.587758677810275,77.21375286662766,Delhi,Unhealthy,0,1,0
C20069,Gaurangi Krishna,Premium_100GB,4296.79,7,T1041,T1041,19.01369620236482,72.83553383971655,Mumbai,Healthy,0,0,0
C20070,Sathvik Chada,Unlimited,1891.07,9,T1009,T1009,19.07128836279437,72.86222737490004,Mumbai,Unhealthy,0,1,1
C20071,Thomas Nair,Unlimited,4128.7,22,T1010,T1010,13.027407874069294,80.26537542842367,Chennai,Unhealthy,0,1,0
C20072,Balvan Sampath,Basic_5GB,2607.51,11,T1008,T1008,12.93990344119929,77.62464901721242,Bengaluru,Healthy,0,0,0
C20073,Odika Edwin,Premium_100GB,2545.97,15,T1032,T1032,28.51312326199266,77.12862480666897,Delhi,Healthy,0,0,0
C20074,Chanakya Dar,Standard_20GB,2189.32,18,T1024,T1024,28.683406618513967,77.12076926840687,Delhi,Healthy,0,0,0
C20075,Aadi Salvi,Premium_100GB,7067.1,38,T1021,T1021,13.02769764742668,77.62745366548258,Bengaluru,Healthy,0,0,0
C20076,Hardik Gokhale,Unlimited,4668.96,51,T1044,T1044,28.6071416758286,77.1576108996647,Delhi,Unhealthy,0,1,0
